Mes_Ano;Total_de_Procedimentos;Percentual;Valor_Total_Aprovado
Set-2025;57772;25.87;4961342.29
Ago-2025;165200;73.98;14092009.62
Jul-2025;310;0.14;41320.91
Jun-2025;27;0.01;7116.75
Mai-2025;6;0.0;0.0
