Mes_Ano;Gasto_Medio_Aprovado;Gasto_Medio_Produzido
Abr-2025;0.0;0.0
Mai-2025;394.444224;423.808293
Jun-2025;77.489237;87.270068
Jul-2025;73.097783;75.866745
Ago-2025;33.65942;35.754323
